ID	ww_ave_yield
453911910	2689.971935
453911927	2513.633548
453911943	2572.629032
453911948	2403.733871
453911952	1950.210645
453911956	1819.465484
453911960	1663.848065
453911964	1570.942581
453911968	1449.506452
453911972	1402.342903
453911977	1352.338065
453911981	1378.533226
453911985	1510.138065
453911989	1539.237097
453911993	1508.708065
453911997	1439.246774
453912002	1605.730968
453912006	1591.101613
453912014	2092.567097
453912018	2066.452581
453912022	1926.006452
453912027	1949.345806
453912035	2035.707419
453912039	2144.863226
453912043	1956.125484
453912047	1816.995161
453912056	2180.746774
453912060	2441.745806
453912064	2668.350645
453912068	1369.611935
453912072	1345.206452
453912077	1472.305161
453912081	1627.576452
453912093	1481.561935
453912097	1497.815161
453912102	1515.46
453912106	1374.469355
453912110	1360.66
453912114	1410.536129
453912118	3768.932258
454311677	5351.076129
454311706	3352.834194
454311710	3072.710323
454311714	3017.180645
454311718	4369.960968
454311723	2799.830645
454311727	2511.412258
454311731	2777.124516
454311735	2916.781613
454311793	4305.612581
454311798	3906.335161
454311802	3598.747742
454311806	3972.102581
454311881	3351.942581
454311885	2751.319032
454311931	2245.977097
454311943	1881.370968
454311948	1841.763871
454311952	1817.254516
454311956	1792.210968
454311960	1676.126774
454311964	1494.447419
454311968	1254.312258
454311972	1157.916452
454311977	1152.882258
454311981	1365.946452
454311985	1463.741935
454311989	1458.776774
454311993	1413.741613
454311997	1315.846129
454312002	1505.75871
454312006	1607.753548
454312010	1505.017419
454312014	1715.107742
454312018	1779.159677
454312022	1716.14871
454312027	1690.190968
454312031	1599.673548
454312035	1713.046452
454312039	1611.673871
454312043	1718.955161
454312047	1631.376774
454312056	2280.106452
454312060	2333.292258
454312064	2412.82129
454312068	2308.770323
454312072	2235.862903
454312077	2618.892258
454312081	3127.224194
454312089	1352.254194
454312093	1489.686129
454312097	1528.714839
454312102	1434.925806
454312106	1339.359032
454312110	1325.782258
454312114	3100.62129
454711706	3360.840645
454711714	2930.733871
454711718	2832.493548
454711723	2816.407419
454711727	2663.634516
454711731	2752.492581
454711735	2565.178065
454711739	2522.05129
454711743	2730.605161
454711793	5049.392258
454711798	4175.543871
454711802	4181.065806
454711806	5251.890968
454711868	3204.815806
454711873	2856.233871
454711877	2368.432581
454711881	1966.367097
454711885	1943.691935
454711889	2184.869355
454711893	2432.058387
454711898	2735.243871
454711902	3029.47129
454711935	2022.944839
454711943	1821.49871
454711948	1666.078065
454711952	1631.03129
454711956	1689.373548
454711960	1651.116129
454711964	1383.43
454711968	1279.447097
454711972	1113.91871
454711977	1054.79871
454711981	1301.15129
454711985	1220.05871
454711989	1217.602258
454711993	1320.32871
454711997	1321.817742
454712002	1296.360645
454712006	1424.510323
454712010	1528.842903
454712014	1485.336452
454712018	1437.893548
454712022	1494.512258
454712027	1491.021935
454712031	1423.516774
454712035	1395.369355
454712039	1317.695484
454712052	1788.267742
454712056	2043.520968
454712060	2094.569032
454712064	2146.971613
454712068	2057.383548
454712072	2110.757419
454712077	2494.324194
454712081	2573.334516
454712085	1261.999355
454712089	1385.336129
454712093	1465.333226
454712097	3954.177742
454712102	1331.219032
454712106	1692.186774
454712110	3119.836129
454712114	3312.327097
454712118	3062.826774
455211706	3210.646774
455211710	2761.979677
455211714	2893.766129
455211718	2887.183226
455211723	2776.965484
455211727	2756.245161
455211731	3066.587097
455211735	2903.314516
455211739	2883.777097
455211743	3186.263871
455211748	3366.185806
455211781	4268.077742
455211785	4260.832258
455211789	4180.814516
455211793	4097.58871
455211798	4423.720645
455211802	4530.257419
455211806	5412.131613
455211868	3735.326774
455211873	2337.812903
455211877	1959.996452
455211881	1898.93129
455211885	1800.758065
455211889	2005.055806
455211893	2292.757742
455211898	2595.614194
455211902	2834.705806
455211906	2917.488387
455211910	2676.607742
455211914	2368.593871
455211939	1699.607419
455211943	1455.88
455211948	1463.733226
455211952	1395.414839
455211956	1288.239355
455211960	1189.68
455211964	1082.387097
455211968	1091.015161
455211972	1121.839677
455211977	1261.2
455211981	1192.935484
455211985	1174.347097
455211989	1098.373871
455211993	1068.923226
455211997	1154.987419
455212002	1226.26871
455212006	1235.154194
455212010	1304.02871
455212014	1393.023871
455212018	1341.208065
455212022	1267.029032
455212027	1315.070645
455212031	1312.867742
455212035	1225.874194
455212043	1658.37129
455212047	1829.292258
455212052	1936.78871
455212056	2040.186774
455212060	2006.126774
455212064	2106.211935
455212068	2176.194839
455212072	2400.194839
455212077	2569.991935
455212081	2313.458387
455212085	2117.637419
455212089	2683.720323
455212093	3537.686774
455212097	3670.590968
455212102	3781.169355
455212106	3816.510968
455212110	3757.21129
455212114	4005.40871
455611710	2736.634194
455611714	2827.735806
455611718	3108.676452
455611723	2888.002581
455611731	3445.713871
455611735	3268.821935
455611739	3273.130968
455611743	2530.465806
455611748	4046.119355
455611752	3839.950323
455611756	4198.642258
455611781	4133.531935
455611785	4170.23129
455611789	4136.113226
455611793	5741.284194
455611864	3355.434516
455611868	3497.007419
455611873	2249.432581
455611877	1865.860968
455611881	1735.887419
455611885	1662.349677
455611889	1708.753548
455611893	1851.244194
455611898	2066.622258
455611902	2029.31871
455611906	1811.622581
455611910	2068.712903
455611914	1619.780968
455611918	1495.986774
455611923	1475.878387
455611927	1492.735484
455611931	1437.919355
455611935	1405.529032
455611939	1291.363548
455611943	1149.977097
455611948	1188.167097
455611952	1135.79129
455611956	1085.772903
455611960	1030.770323
455611964	963.9390323
455611968	953.6106452
455611972	1067.992258
455611977	1255.685806
455611981	1130.139032
455611985	1000.358387
455611989	975.4767742
455611993	980.2293548
455611997	1064.578065
455612002	1120.732258
455612006	1123.636774
455612010	1644.27
455612014	1841.493548
455612018	1384.035161
455612022	1320.146774
455612027	1277.075806
455612031	1269.906774
455612035	1274.844516
455612039	1295.320323
455612043	1463.293226
455612047	1764.327419
455612052	2075.282258
455612056	2251.761613
455612060	2288.179032
455612064	2313.85
455612068	2394.934839
455612072	2440.184194
455612077	2415.902581
455612081	2373.294194
455612085	2437.358065
455612089	2766.731935
455612093	3613.093548
455612097	4072.150968
455612102	4286.494516
455612106	4279.754839
455612110	4271.284194
455612114	4407.721935
456011714	2843.369032
456011743	2766.93871
456011748	2564.570968
456011752	2468.587419
456011756	3419.477742
456011777	3856.82129
456011781	3963.871613
456011785	4113.340968
456011789	4041.738065
456011864	4097.949355
456011868	2641.327419
456011873	2238.573548
456011877	2007.145161
456011881	1774.263226
456011893	1726.533548
456011898	1842.389355
456011902	1764.52
456011906	1573.195484
456011910	1507.437097
456011914	1641.216452
456011918	1352.223548
456011923	1378.48129
456011927	1391.633871
456011931	1359.433871
456011935	1212.116129
456011939	1163.506774
456011943	1072.724839
456011948	1065.345484
456011952	1031.902581
456011956	1602.118065
456011960	1552.902258
456011964	1419.465484
456011968	880.6364516
456011972	962.4567742
456011977	1021.823871
456011981	939.1351613
456011985	894.153871
456011989	1407.01871
456011993	1415.240323
456011997	1013.938387
456012002	1051.590323
456012006	1537.675484
456012010	1588.364194
456012014	1800.046774
456012018	1370.275484
456012022	1415.242258
456012027	1419.637742
456012031	1548.498387
456012035	1456.575484
456012039	1502.84
456012043	1437.385806
456012047	1668.425161
456012052	2064.982581
456012056	2238.223548
456012060	2349.201613
456012064	2361.723226
