"Year","Month","tasmin","tasmax","pr","PotEvap","gcm"
2025,2,270.5388508,279.4998831,32.98338794,18.66444238,"inmcm4"
2025,3,272.7112774,283.6366091,47.8320757,48.7115312,"inmcm4"
2025,4,274.8138179,285.7385554,82.90280843,74.03809265,"inmcm4"
2025,5,277.5958628,291.3017009,26.3604658,131.812721,"inmcm4"
2025,6,280.4736461,293.8710213,8.759907763,156.4557414,"inmcm4"
2025,7,285.2413071,298.0901561,38.66348068,179.0115394,"inmcm4"
2025,8,283.4061346,298.5748009,9.098905017,158.7428061,"inmcm4"
2025,9,280.8517597,299.2811206,15.56704914,129.5990551,"inmcm4"
2025,10,274.9565257,287.9284231,23.55746149,56.92682328,"inmcm4"
2025,11,272.8402467,280.1742606,129.768452,17.3160672,"inmcm4"
2025,12,268.1373423,274.7098106,158.486422,5.862534348,"inmcm4"
2026,1,269.0614353,276.2026337,137.3070515,7.940589448,"inmcm4"
2026,2,271.1101964,277.5645784,131.224526,18.07927203,"inmcm4"
2026,3,271.4207156,282.0412099,82.09213032,43.76895964,"inmcm4"
2026,4,273.5796073,288.9825344,18.86242656,90.02396361,"inmcm4"
2026,5,277.5425228,289.5197677,38.94176627,113.6428356,"inmcm4"
2026,6,283.21331,296.4686654,50.05881744,167.788807,"inmcm4"
2026,7,283.5992814,299.6815482,13.46124503,187.2710232,"inmcm4"
2026,8,284.8924843,300.6445531,14.20577454,168.8069764,"inmcm4"
2026,9,279.0978024,298.2176209,1.809723042,123.482773,"inmcm4"
2026,10,276.1799475,289.2096248,16.89391539,57.81164064,"inmcm4"
2026,11,269.5941634,278.0981346,50.12716606,10.11064926,"inmcm4"
2026,12,271.6476796,278.5405403,85.27780767,9.49279811,"inmcm4"
2027,1,272.4167707,279.3425504,94.40337282,10.43167534,"inmcm4"
2027,2,273.5954565,281.3281786,111.4893559,22.0149393,"inmcm4"
2027,3,273.9927133,283.5459008,85.7220928,48.44859427,"inmcm4"
2027,4,276.7383883,286.112729,88.19344675,77.13401625,"inmcm4"
2027,5,280.5412321,294.1951102,35.92806621,146.6898038,"inmcm4"
2027,6,281.8137295,294.711322,30.61047865,160.1645195,"inmcm4"
2027,7,284.0283089,304.6984638,2.308606698,227.7087007,"inmcm4"
2027,8,282.2987815,302.8949966,2.387423423,190.4757582,"inmcm4"
2027,9,282.0709946,293.1375101,42.59499585,101.5942444,"inmcm4"
2027,10,272.5535403,285.4775836,10.30338897,47.2337527,"inmcm4"
2027,11,271.5970796,280.9785291,83.13337437,17.71303896,"inmcm4"
2027,12,268.5510919,274.976352,55.04082211,5.31832234,"inmcm4"
2028,1,270.1987361,276.0519857,117.8601157,7.191805995,"inmcm4"
2028,2,271.4542699,278.2794873,122.4748352,17.26674971,"inmcm4"
2028,3,272.424247,283.1582027,68.14004808,45.50817123,"inmcm4"
2028,4,276.3345102,287.952738,43.1018263,84.65694706,"inmcm4"
2028,5,279.6645233,291.361254,34.23787386,132.8084195,"inmcm4"
2028,6,282.2173614,296.1560934,16.80098929,165.5157321,"inmcm4"
2028,7,285.7252565,303.951763,3.920480122,207.3425702,"inmcm4"
2028,8,283.7157285,300.0083244,26.84370802,172.5525662,"inmcm4"
2028,9,280.7943602,292.6629564,32.30937417,90.54783825,"inmcm4"
2028,10,275.8931066,286.2668643,69.27405,51.63505133,"inmcm4"
2028,11,273.6388792,281.9293186,64.26998581,19.91888539,"inmcm4"
2028,12,270.0542893,276.6856619,16.16758427,6.635781694,"inmcm4"
2029,1,269.1925727,276.7253713,64.04746059,7.737756602,"inmcm4"
2029,2,270.1996056,279.1224893,61.28436373,18.60883188,"inmcm4"
2029,3,273.1948133,284.7353119,31.97257938,53.05691141,"inmcm4"
2029,4,275.0258782,287.5741091,51.88383426,81.92698903,"inmcm4"
2029,5,278.7146079,290.7444841,33.11034964,123.8882306,"inmcm4"
2029,6,283.1108214,296.4570957,23.19294358,163.0472829,"inmcm4"
2029,7,287.6936455,302.2916687,32.76071027,194.6291633,"inmcm4"
2029,8,284.9449119,299.7230856,18.64863786,173.2657148,"inmcm4"
2029,9,282.6077662,297.545557,7.037869067,119.0847693,"inmcm4"
2029,10,274.4406879,285.3436281,94.66798976,49.29791097,"inmcm4"
2029,11,273.1611822,281.0453001,98.76055699,16.81137777,"inmcm4"
2029,12,270.2629729,276.4624734,138.4171604,8.447838035,"inmcm4"
2030,1,268.6523712,274.5351631,67.5400034,6.773826385,"inmcm4"
2030,2,269.1030147,277.5239574,25.38537993,14.18112704,"inmcm4"
2030,3,272.3373428,283.1168444,82.56734728,46.15495147,"inmcm4"
2030,4,276.5435963,290.5326853,42.1386059,96.13074671,"inmcm4"
2030,5,280.3183274,292.0028627,48.1420425,137.5757261,"inmcm4"
2030,6,281.0368451,297.2104599,6.717780053,170.4295415,"inmcm4"
2030,7,285.244133,304.4514548,6.525157901,237.6722931,"inmcm4"
2030,8,284.4229112,302.6011941,8.865741256,183.4654451,"inmcm4"
2030,9,279.9862756,295.429295,12.52404035,112.8878915,"inmcm4"
2030,10,277.3011481,287.2541529,49.1562742,55.33116883,"inmcm4"
2030,11,272.4296807,279.7654883,64.45436783,14.75366404,"inmcm4"
2030,12,267.9136063,275.3134872,92.09786275,5.947817796,"inmcm4"
2031,1,266.3366775,276.2440831,67.86951304,6.394852552,"inmcm4"
2031,2,266.3491354,277.8480009,60.96110726,12.54647318,"inmcm4"
2031,3,271.7994829,281.9968084,49.6406936,41.83016236,"inmcm4"
2031,4,273.8938805,286.3138274,40.20913115,75.82457329,"inmcm4"
2031,5,278.4272472,288.9333042,67.02943825,114.2152714,"inmcm4"
2031,6,283.4778174,297.0135367,19.82764709,160.5653803,"inmcm4"
2031,7,285.1228083,300.293257,10.56384509,192.9633884,"inmcm4"
2031,8,283.885526,301.2731799,11.40625616,175.5467431,"inmcm4"
2031,9,278.9749865,297.7518125,1.112905137,125.7800501,"inmcm4"
2031,10,276.82548,289.1962275,99.00239092,56.23005026,"inmcm4"
2031,11,274.3460001,281.4452411,156.3162505,20.15881931,"inmcm4"
2031,12,269.417123,275.6747933,80.66039113,6.156861475,"inmcm4"
2032,1,271.7829448,279.2740117,73.58842397,11.67286396,"inmcm4"
2032,2,272.662361,280.644708,67.26417433,20.86719803,"inmcm4"
2032,3,274.2878215,284.801135,87.24739827,50.65547358,"inmcm4"
2032,4,275.7880146,286.6228053,46.96647166,84.20904189,"inmcm4"
2032,5,278.5373496,288.4900116,51.91695336,112.5875156,"inmcm4"
2032,6,280.6961648,293.8685762,14.61428652,153.3694198,"inmcm4"
2032,7,284.0673972,301.0778054,6.571103178,198.8281864,"inmcm4"
2032,8,284.4146536,300.3698319,3.702318622,173.5749825,"inmcm4"
2032,9,280.2956258,294.7089381,9.368490759,110.8718707,"inmcm4"
2032,10,277.2232259,286.957746,41.885849,55.06586044,"inmcm4"
2032,11,273.8580516,280.6502158,119.1082595,20.15047623,"inmcm4"
2032,12,270.2539273,276.4222984,122.2704012,7.535332413,"inmcm4"
