LON	LAT	ET_pot	T_act	Soil_evap	Residue_evap	Precipitation	crop_water_intercepted	Residue_water_intercepted	Soil_water	WW_Yield
-118.14600000000	47.72930000000	1225.08619355000	155.05896774200	167.34341935500	32.67664516130	369.26896774200	18.63877419350	32.62609677420	6.89545161290	3677.952903
-118.02100000000	46.60440000000	1380.78496774000	96.24935483870	201.55729032300	23.52393548390	323.05506451600	20.07787096770	23.47609677420	0.00000000000	1931.25871
-117.02100000000	46.18770000000	1318.87148387000	85.76100000000	253.21241935500	25.54312903230	383.24403225800	23.06838709680	25.45990322580	17.98948387100	2078.749355
-117.43800000000	46.72940000000	1319.96745161000	176.75974193500	226.83883871000	46.55361290320	477.26816129000	26.38712903230	46.25735483870	21.80693548390	4717.339032
-117.60500000000	47.31270000000	1221.73154839000	171.20816129000	194.58993548400	40.41854838710	437.44512903200	21.85609677420	40.28883870970	27.15648387100	4589.413548
-118.14600000000	47.31270000000	1264.63903226000	142.31532258100	174.63603225800	31.56419354840	355.62925806500	18.58561290320	31.49648387100	0.00000000000	2970.305806
-119.68800000000	47.85430000000	1290.90174194000	95.34467741940	121.77606451600	20.75703225810	283.31151612900	15.49061290320	20.73222580650	44.25658064520	2432.699677
-118.56300000000	47.85430000000	1267.85329032000	136.71893548400	172.42461290300	28.80987096770	342.73422580600	18.45196774190	28.80845161290	0.00000000000	2891.547742
-119.27100000000	48.02100000000	1316.50454839000	96.84645161290	147.72329032300	21.61383870970	304.70848387100	16.22293548390	21.57732258060	37.73412903230	2360.944516
-119.97899000000	47.72930000000	1225.84748387000	150.52825806500	113.07135483900	27.13925806450	316.60325806500	15.51377419350	27.22948387100	22.31422580650	3851.277419
-118.56300000000	47.72930000000	1225.51935484000	134.70093548400	167.83822580600	27.73438709680	335.18648387100	17.23419354840	27.76909677420	0.00000000000	2776.77
-118.02100000000	47.72930000000	1233.85064516000	159.88416129000	171.34287096800	34.37096774190	383.78196774200	19.63961290320	34.28180645160	11.48041935480	3850.235806
-117.73000000000	47.72930000000	1190.19906452000	142.43567741900	183.73361290300	34.42077419350	435.01716129000	20.34854838710	34.36648387100	72.19658064520	3979.032258
-117.85500000000	47.43770000000	1221.17170968000	135.61980645200	179.32600000000	33.93258064520	409.58454838700	19.90177419350	33.82383870970	58.89125806450	3563.432258
-118.14600000000	47.43770000000	1208.03922581000	137.61196774200	160.96190322600	30.02674193550	333.91500000000	17.65483870970	30.00848387100	0.00000000000	2892.878387
-118.43800000000	47.43770000000	1250.93022581000	123.31838709700	162.84745161300	26.04958064520	314.81529032300	16.29800000000	25.99454838710	0.00000000000	2454.230645
-120.10399000000	47.43770000000	1282.80477419000	124.79225806500	109.17477419400	23.02109677420	263.32461290300	13.66209677420	23.07338709680	0.00000000000	2829.13871
-117.73000000000	47.14600000000	1293.13977419000	130.63367741900	198.42980645200	34.97500000000	396.88790322600	22.49658064520	34.83077419350	31.01074193550	3367.76871
-117.43800000000	47.14600000000	1202.14241935000	174.96296774200	207.38019354800	43.47125806450	460.28429032300	23.11887096770	43.25051612900	28.36774193550	4820.964516
-117.60500000000	46.89600000000	1282.21503226000	161.99477419400	211.83380645200	40.61858064520	428.95316129000	23.78529032260	40.42100000000	6.98622580645	3856.067419
-117.85500000000	46.89600000000	1339.54577419000	97.00338709680	201.40551612900	27.00058064520	369.01519354800	21.30429032260	26.84525806450	41.72619354840	2370.278065
-118.14600000000	46.89600000000	1313.27532258000	117.08306451600	186.52709677400	27.25683870970	333.92064516100	19.50574193550	27.07380645160	0.00000000000	2307.282258
-117.73000000000	46.60440000000	1382.72390323000	131.66093548400	220.58722580600	34.63648387100	400.44412903200	24.93061290320	34.38864516130	6.80990322581	3227.603548
-117.43800000000	46.60440000000	1301.78429032000	188.29103225800	237.83377419400	49.94080645160	523.64041935500	27.39006451610	49.61138709680	44.47987096770	5551.432903
-117.31300000000	46.31270000000	1349.30664516000	67.53367741940	278.32925806500	18.14170967740	387.76251612900	23.38119354840	18.04941935480	22.88258064520	2088.376452
-118.14600000000	46.31270000000	1373.92803226000	170.63122580600	246.13822580600	42.79151612900	474.08019354800	26.77564516130	42.46425806450	5.94006451613	4289.402258
-117.18800000000	46.18770000000	1258.72409677000	90.04893548390	272.41054838700	21.98048387100	388.57529032300	21.95070967740	21.90612903230	2.78496774194	2024.079032
-117.43800000000	46.31270000000	1218.27661290000	135.15312903200	253.71267741900	45.31351612900	473.88738709700	25.96603225810	44.93503225810	39.24677419350	4309.353548
-118.02100000000	46.31270000000	1343.14035484000	183.81832258100	250.52129032300	45.45254838710	509.52261290300	27.60370967740	45.07683870970	24.13345161290	5215.193871
-118.02100000000	46.47940000000	1376.85493548000	126.11067741900	213.37670967700	30.71425806450	379.89419354800	23.98422580650	30.49561290320	2.44948387097	2963.834839
-117.85500000000	46.47940000000	1352.16419355000	159.29506451600	229.56361290300	39.74067741940	437.94458064500	25.50216129030	39.49083870970	1.40235483871	3740.56871
-117.73000000000	46.47940000000	1338.94658065000	150.10661290300	229.59854838700	38.31664516130	423.94219354800	24.76687096770	38.05351612900	0.41351612903	3465.555484
-117.60500000000	46.47940000000	1307.29245161000	151.24522580600	232.83561290300	39.81541935480	432.14245161300	24.34748387100	39.55616129030	1.42558064516	3605.73
-117.43800000000	46.47940000000	1285.68025806000	168.01077419400	241.27448387100	46.55358064520	471.39351612900	25.87954838710	46.28674193550	8.26306451613	4244.759032
-117.31300000000	46.47940000000	1304.05961290000	148.89006451600	249.30274193500	41.82364516130	445.47351612900	25.42919354840	41.62945161290	1.19135483871	3489.43
