"period_ave_Y","period_sd_Y","ID"
4.77909333333333,0.900301351438672,1
5.11551666666667,0.946690846046641,2
5.20212333333333,0.964078987565006,3
5.22484333333333,1.00237445501044,4
5.22484333333333,1.00237445501044,5
5.28967333333333,0.995392321176666,6
5.85734333333333,1.36939472198822,7
5.85816666666667,1.36957669909817,8
5.31945,1.00375806974898,15
5.52551,1.44126652069964,19
5.70153333333333,1.03843006748527,20
5.22484333333333,1.00237445501044,21
5.94251666666667,1.01794446670673,22
5.98171,1.01306146062319,23
5.94251666666667,1.01794446670673,24
5.91730333333333,1.05694055144973,26
5.79093333333333,1.0710424842127,27
5.82429,1.23232686336557,28
6.00498,1.24388741629369,29
1.91206666666667,2.45125273705498,30
4.75154666666667,2.45271184479735,31
0.460103333333333,1.77908164346846,32
5.98218666666667,1.52155613803612,33
6.25068,1.83473173824141,34
4.50140333333333,1.85665546587244,35
6.60486666666667,1.01741105832854,36
5.88371333333333,1.59118115718749,37
5.20471666666667,1.75173318962783,38
5.81202333333333,1.1868672568147,39
4.93041333333333,2.19779665240744,40
6.20916,1.19978684762092,41
5.26441,1.49273947292704,42
5.24089333333333,1.2597037453945,43
5.46271666666667,1.53406696726625,44
5.30996666666667,1.85895600981755,45
6.11224,1.78518497729855,46
4.39068,2.75044154090412,47
5.98258,1.54760267519666,48
5.92439,1.49643073168261,49
5.88001666666667,1.48946491967888,50
4.44927333333333,2.27718562021622,51
5.82013333333333,1.38361579387396,52
5.75841666666667,1.29655982164031,53
5.76126333333333,1.3931406081679,54
5.57715333333333,1.24086849583428,55
5.92083666666667,1.31586635011608,56
5.74240333333333,1.61087621251835,57
6.15085333333333,1.54207502897508,58
5.82178333333333,1.49299619513184,59
6.00103333333333,1.37564068392308,60
6.09409666666667,1.51169174550792,61
5.89086,1.37122193168394,62
5.91902,1.45099744513666,63
5.68175,1.57110614728429,64
5.82197,1.47745210813332,65
5.74287,1.47038278740019,66
5.61333666666667,1.43212377775669,67
6.06732666666667,1.56481585761069,68
5.90563333333333,1.42147487596106,69
6.65021666666667,1.78715394221117,70
5.70861,1.27207329607464,71
6.00787333333333,1.49175269003608,72
